
############## bjorn - 07/26/20 08:33:33 EST -0500 ##############

2020-07-26 10:13:09 64 bytes from 8.8.8.8: icmp_seq=49 ttl=115 time=18.7 ms
2020-07-26 10:14:09 64 bytes from 8.8.8.8: icmp_seq=50 ttl=115 time=18.5 ms
2020-07-26 10:15:09 64 bytes from 8.8.8.8: icmp_seq=51 ttl=115 time=16.3 ms
2020-07-26 10:16:09 64 bytes from 8.8.8.8: icmp_seq=52 ttl=115 time=17.3 ms
2020-07-26 10:17:09 64 bytes from 8.8.8.8: icmp_seq=53 ttl=115 time=17.4 ms
2020-07-26 10:18:09 64 bytes from 8.8.8.8: icmp_seq=54 ttl=115 time=16.8 ms
2020-07-26 10:19:10 64 bytes from 8.8.8.8: icmp_seq=55 ttl=115 time=50.1 ms
2020-07-26 10:20:10 64 bytes from 8.8.8.8: icmp_seq=56 ttl=115 time=18.0 ms
2020-07-26 10:21:10 64 bytes from 8.8.8.8: icmp_seq=57 ttl=115 time=17.4 ms
2020-07-26 10:22:10 64 bytes from 8.8.8.8: icmp_seq=58 ttl=115 time=17.2 ms
2020-07-26 10:23:10 64 bytes from 8.8.8.8: icmp_seq=59 ttl=115 time=17.3 ms
2020-07-26 10:24:10 64 bytes from 8.8.8.8: icmp_seq=60 ttl=115 time=20.8 ms
2020-07-26 10:25:10 64 bytes from 8.8.8.8: icmp_seq=61 ttl=115 time=23.9 ms
2020-07-26 10:26:10 64 bytes from 8.8.8.8: icmp_seq=62 ttl=115 time=17.8 ms
2020-07-26 10:27:10 64 bytes from 8.8.8.8: icmp_seq=63 ttl=115 time=17.8 ms
2020-07-26 10:28:10 64 bytes from 8.8.8.8: icmp_seq=64 ttl=115 time=16.5 ms
2020-07-26 10:29:10 64 bytes from 8.8.8.8: icmp_seq=65 ttl=115 time=18.2 ms
2020-07-26 10:30:10 64 bytes from 8.8.8.8: icmp_seq=66 ttl=115 time=17.0 ms
2020-07-26 10:31:10 64 bytes from 8.8.8.8: icmp_seq=67 ttl=115 time=17.7 ms
2020-07-26 10:32:10 64 bytes from 8.8.8.8: icmp_seq=68 ttl=115 time=16.4 ms
2020-07-26 10:33:10 64 bytes from 8.8.8.8: icmp_seq=69 ttl=115 time=16.9 ms
2020-07-26 10:34:10 64 bytes from 8.8.8.8: icmp_seq=70 ttl=115 time=18.7 ms
2020-07-26 10:35:10 64 bytes from 8.8.8.8: icmp_seq=71 ttl=115 time=17.9 ms
2020-07-26 10:36:10 64 bytes from 8.8.8.8: icmp_seq=72 ttl=115 time=31.0 ms
2020-07-26 10:37:11 64 bytes from 8.8.8.8: icmp_seq=73 ttl=115 time=18.6 ms
2020-07-26 10:38:11 64 bytes from 8.8.8.8: icmp_seq=74 ttl=115 time=16.9 ms
2020-07-26 10:39:11 64 bytes from 8.8.8.8: icmp_seq=75 ttl=115 time=16.9 ms
2020-07-26 10:40:11 64 bytes from 8.8.8.8: icmp_seq=76 ttl=115 time=17.6 ms
2020-07-26 10:41:11 64 bytes from 8.8.8.8: icmp_seq=77 ttl=115 time=17.5 ms
2020-07-26 10:42:11 64 bytes from 8.8.8.8: icmp_seq=78 ttl=115 time=26.0 ms
2020-07-26 10:43:11 64 bytes from 8.8.8.8: icmp_seq=79 ttl=115 time=16.4 ms
2020-07-26 10:44:11 64 bytes from 8.8.8.8: icmp_seq=80 ttl=115 time=16.8 ms
2020-07-26 10:45:11 64 bytes from 8.8.8.8: icmp_seq=81 ttl=115 time=17.0 ms
2020-07-26 10:46:11 64 bytes from 8.8.8.8: icmp_seq=82 ttl=115 time=17.5 ms
